Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-01-04,32.313072204589844,63.086181640625,15.609843254089355,26.535797119140625,79.82261657714844,61.42500305175781,,29.70308494567871,26.06043815612793,103.85140991210938,76.41197204589844
2021-01-05,33.03865432739258,63.313934326171875,16.308916091918945,26.6544246673584,80.60782623291016,61.82362365722656,,29.669511795043945,26.056177139282227,104.60531616210938,76.98233795166016
2021-01-06,34.39066696166992,63.01026916503906,16.806489944458008,27.831565856933594,82.52925109863281,60.7574462890625,,29.526790618896484,26.704275131225586,106.03968811035156,77.76841735839844
2021-01-07,34.64754867553711,63.84535217285156,17.053220748901367,28.233068466186523,82.98188781738281,62.39512634277344,,29.619138717651367,26.354639053344727,107.4188461303711,79.2686538696289
2021-01-08,34.48080062866211,64.04461669921875,17.032657623291016,28.214820861816406,82.77867126464844,62.79853439331055,,29.93816566467285,26.576358795166016,107.93372344970703,80.90310668945312
2021-01-11,34.48080062866211,62.905860900878906,17.29994773864746,28.306068420410156,82.75096130371094,62.279850006103516,,29.434438705444336,26.329051971435547,108.43942260742188,79.39328002929688
2021-01-12,34.91794967651367,61.89051055908203,17.90443992614746,28.598072052001953,83.57311248779297,61.98210144042969,,29.459625244140625,26.18834686279297,107.26251983642578,80.60594177246094
2021-01-13,34.56191635131836,62.108768463134766,17.764629364013672,28.57982063293457,82.85257720947266,62.375911712646484,,29.862611770629883,26.70000457763672,107.5567626953125,80.6011734008789
2021-01-14,34.44474792480469,61.757652282714844,18.290985107421875,28.707571029663086,83.1389389038086,61.828426361083984,,30.04730796813965,26.597675323486328,107.21658325195312,80.0882797241211
2021-01-15,33.95351791381836,61.956932067871094,17.57958221435547,28.233068466186523,82.05811309814453,61.19447326660156,,30.50904655456543,26.857770919799805,107.54756927490234,79.469970703125
2021-01-19,34.0706787109375,63.07669448852539,17.9332275390625,28.306068420410156,82.32603454589844,61.99170684814453,,30.307559967041016,26.755435943603516,108.35667419433594,79.92052459716797
