decision_date,action,change_bps,rate_after,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLB,XLRE,XLU,XLC
2022-01-26,hold,0,0.25,-3.8,-4.95,18.82,1.86,-4.84,-2.72,-1.17,0.0,0.54,6.17,-6.65
2022-03-16,hike,25,0.5,-2.02,-6.64,8.92,0.09,-1.91,9.06,-3.06,3.72,5.98,3.98,-8.02
2022-05-04,hike,50,1.0,-17.05,-14.43,-4.91,-9.65,-20.66,-11.57,-13.13,-15.2,-16.42,-9.53,-15.67
2022-06-15,hike,75,1.75,12.32,7.11,-3.74,9.21,15.29,7.81,8.25,1.04,12.3,11.64,2.57
2022-07-27,hike,75,2.5,-3.84,3.18,5.22,-2.0,4.75,-0.85,2.48,1.52,0.07,8.89,-5.05
2022-09-21,hike,75,3.25,-3.36,4.83,16.73,6.41,-10.58,0.81,5.6,2.31,-6.74,-8.88,-7.38
2022-11-02,hike,75,4.0,5.53,0.95,-3.69,5.33,-0.52,5.59,6.39,9.79,8.2,8.0,3.24
2022-12-14,hike,50,4.5,0.2,4.78,4.8,-5.64,5.07,-3.99,-0.33,1.77,3.13,-4.74,9.09
2023-02-01,hike,25,4.75,3.23,-12.45,-11.3,-4.84,-5.51,-2.27,-4.2,-9.99,-9.32,-2.3,-0.34
2023-03-22,hike,25,5.0,2.99,1.06,-0.72,5.25,1.46,6.16,1.28,2.7,5.86,6.57,3.88
2023-05-03,hike,25,5.25,17.79,5.29,2.52,-0.93,14.61,-2.71,6.57,3.42,3.28,-1.66,11.53
2023-06-14,hold,0,5.25,3.42,6.47,8.12,4.26,4.57,3.79,6.3,5.97,1.82,2.05,7.22
2023-07-26,hike,25,5.5,-2.06,-3.79,5.84,-2.75,-1.7,-5.76,-3.87,-4.12,-5.05,-8.44,-0.24
2023-09-20,hold,0,5.5,0.35,-5.57,-5.98,-5.15,-7.85,-5.11,-4.97,-4.95,-7.74,-5.79,-1.28
2023-11-01,hold,0,5.5,14.09,15.35,-0.28,8.42,16.14,5.09,14.68,12.21,21.7,7.84,8.42
2023-12-13,hold,0,5.5,6.71,4.68,3.17,3.61,-1.12,1.8,2.74,-0.6,-0.55,-5.73,10.77
2024-01-31,hold,0,5.5,5.62,5.34,9.45,3.96,5.22,3.62,8.09,10.4,2.44,3.12,5.55
2024-03-20,hold,0,5.5,-6.02,-2.65,0.55,-3.42,-3.57,-0.42,-2.0,-3.2,-5.65,6.26,-2.76
2024-05-01,hold,0,5.5,16.76,1.04,-3.62,3.81,3.0,2.39,0.96,0.81,6.32,3.85,6.72
2024-06-12,hold,0,5.5,-3.72,6.79,3.81,3.08,1.89,3.09,2.89,2.14,7.4,2.56,-0.79
2024-07-31,hold,0,5.5,0.25,1.46,-8.69,4.15,1.97,7.05,1.09,-0.3,8.98,6.4,0.29
2024-09-18,cut,-50,5.0,5.92,4.67,0.97,-4.3,3.95,-2.93,3.02,1.86,-1.32,1.46,6.18
2024-11-07,cut,-25,4.75,-0.61,-0.49,-9.65,-7.45,7.92,0.11,-4.81,-10.24,-5.51,-1.62,1.36
2024-12-18,cut,-25,4.5,-0.38,7.83,8.03,7.56,1.57,-1.26,3.98,4.86,2.54,4.49,6.23
2025-01-29,hold,0,4.5,-10.39,-7.53,-2.81,-1.26,-16.6,0.48,-6.54,-4.21,-0.76,0.81,-6.9
2025-03-19,hold,0,4.5,-0.69,-1.3,-12.28,-6.64,0.85,2.26,-0.76,-3.76,-0.68,0.95,-0.86
2025-05-07,hold,0,4.5,11.46,1.84,10.47,-2.04,5.82,-0.56,6.13,3.83,0.65,0.04,5.53
