decision_date,action,change_bps,rate_after,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLB,XLRE,XLU,XLC
2022-01-26,hold,0,0.25,-5.96,-5.86,17.99,5.13,-1.42,7.13,-1.14,4.37,7.75,12.3,-12.45
2022-03-16,hike,25,0.5,-12.96,-15.02,25.27,-6.08,-17.42,-1.72,-9.89,-2.37,-10.88,0.98,-14.67
2022-05-04,hike,50,1.0,-3.08,-6.75,-5.0,-0.6,-3.34,-2.73,-2.62,-11.82,-4.7,3.1,-10.35
2022-06-15,hike,75,1.75,8.57,10.07,0.75,8.36,17.96,7.5,8.5,1.91,9.92,17.93,1.73
2022-07-27,hike,75,2.5,-13.23,-4.77,14.28,-5.87,-10.02,-7.55,-5.51,-7.21,-18.44,-11.58,-12.38
2022-09-21,hike,75,3.25,1.99,5.83,12.43,12.08,-11.05,6.44,12.35,12.32,0.91,-1.59,-4.38
2022-11-02,hike,75,4.0,11.38,9.36,2.45,2.56,8.69,4.24,10.51,17.77,14.96,4.92,18.62
2022-12-14,hike,50,4.5,4.36,-6.26,-3.88,-9.39,1.79,-5.09,-1.0,-3.71,-4.12,-7.95,7.72
2023-02-01,hike,25,4.75,8.63,-8.82,-2.43,0.05,-2.12,4.68,-2.12,-5.06,-7.02,0.4,7.78
2023-03-22,hike,25,5.0,20.9,7.56,2.77,5.1,17.01,3.67,8.95,7.17,8.21,4.57,16.77
2023-05-03,hike,25,5.25,20.56,11.04,11.72,0.93,19.74,-0.49,11.86,9.25,5.55,-0.68,17.68
2023-06-14,hold,0,5.25,0.95,4.23,14.41,2.55,4.89,-1.36,1.95,2.09,-1.54,-3.43,5.91
2023-07-26,hike,25,5.5,-5.08,-7.68,7.36,-4.93,-10.08,-10.53,-9.32,-10.14,-14.52,-13.57,0.58
2023-09-20,hold,0,5.5,14.49,8.93,-6.25,2.84,7.03,-0.28,8.98,6.66,12.29,1.59,7.04
2023-11-01,hold,0,5.5,21.05,21.08,0.97,13.14,13.26,9.19,16.37,10.23,16.68,2.97,18.76
2023-12-13,hold,0,5.5,10.6,10.38,9.07,8.62,2.96,5.86,9.98,8.31,2.27,-2.9,13.33
2024-01-31,hold,0,5.5,1.25,5.71,15.71,0.06,3.14,4.42,8.99,9.28,-3.73,8.6,5.86
2024-03-20,hold,0,5.5,8.57,-2.19,-4.36,0.3,-2.69,1.29,-2.62,-2.82,-1.03,9.5,3.08
2024-05-01,hold,0,5.5,11.04,7.83,0.11,7.15,6.61,5.46,4.37,3.18,14.35,6.75,7.74
2024-06-12,hold,0,5.5,-7.74,10.58,-2.45,6.56,3.26,9.84,4.13,1.51,16.41,10.5,-0.28
2024-07-31,hold,0,5.5,4.9,8.19,-2.86,0.23,6.99,5.55,6.52,3.08,8.6,12.85,5.95
2024-09-18,cut,-50,5.0,9.8,10.11,2.84,-8.9,21.94,-0.54,4.84,-3.14,-3.47,-0.46,16.83
2024-11-07,cut,-25,4.75,-0.93,7.35,-4.1,-0.89,8.68,0.28,-1.53,-5.76,-1.38,1.62,6.81
2024-12-18,cut,-25,4.5,-7.31,4.52,11.37,7.48,-13.58,0.16,1.41,2.58,4.08,6.28,-0.41
2025-01-29,hold,0,4.5,-9.88,-6.02,-7.43,-4.86,-14.2,2.94,-6.08,-6.3,-0.44,2.64,-7.1
2025-03-19,hold,0,4.5,11.48,1.15,-4.36,-6.99,7.66,2.05,7.08,0.68,0.45,3.87,6.01
2025-05-07,hold,0,4.5,21.74,5.33,6.88,-1.27,10.05,-0.46,12.99,6.11,1.1,8.89,11.26
